PassengerId,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Rank_A,Rank_B,Rank_C,Rank_D,Rank_E,Rank_F,Rank_G,Rank_T,Embarked_C,Embarked_Q,Embarked_S,SurvivedFamily,Survived
1,0.27345609420017536,0.125,0.0,0.014151057562208049,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
2,0.47388199924840285,0.125,0.0,0.13913573538264068,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5714285714285714,1
3,0.32356257046223225,0.0,0.0,0.015468569817999833,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
4,0.4363021420518602,0.125,0.0,0.10364429745562033,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5714285714285714,1
5,0.4363021420518602,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,0
6,0.3736690467242891,0.0,0.0,0.01650950209357577,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5714285714285714,0
7,0.6743079042966303,0.0,0.0,0.10122885832000206,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2857142857142857,0
8,0.02292371288989102,0.375,0.1111111111111111,0.04113566043083236,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4571428571428572,0
9,0.33608918952774647,0.0,0.2222222222222222,0.021730754366528396,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.7619047619047619,1
10,0.17324314167606164,0.125,0.0,0.058694292654020104,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5714285714285714,1
11,0.04797695102091946,0.125,0.1111111111111111,0.03259622914329302,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.7619047619047619,1
12,0.7244143805586872,0.0,0.0,0.051822148727810165,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5714285714285714,1
13,0.24840285606914692,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
14,0.4864086183139171,0.125,0.5555555555555556,0.06104473451835265,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6233766233766234,0
15,0.17324314167606164,0.0,0.0,0.015330377421392339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
16,0.6868345233621446,0.0,0.0,0.03122992013728673,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
17,0.02292371288989102,0.5,0.1111111111111111,0.056848213999904744,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.4761904761904762,0
18,0.3736690467242891,0.0,0.0,0.025374310111545468,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
19,0.3861956657898033,0.125,0.0,0.03513366015444757,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.42857142857142855,0
20,0.3736690467242891,0.0,0.0,0.014102260811993537,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5714285714285714,1
21,0.4363021420518602,0.0,0.0,0.050748620223090936,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
22,0.42377552298634596,0.0,0.0,0.025374310111545468,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5714285714285714,1
23,0.18576976074157586,0.0,0.0,0.015671954672893913,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5714285714285714,1
24,0.3486158085932607,0.0,0.0,0.06929138530460492,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
25,0.09808342728297632,0.375,0.1111111111111111,0.04113566043083236,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4571428571428572,0
26,0.47388199924840285,0.125,0.5555555555555556,0.061264319894317944,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.7142857142857143,1
27,0.3736690467242891,0.0,0.0,0.014102260811993537,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0
28,0.2358762370036327,0.375,0.2222222222222222,0.5133418122566505,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6666666666666667,0
29,0.3736690467242891,0.0,0.0,0.01537917417160685,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5714285714285714,1
30,0.3736690467242891,0.0,0.0,0.015411575213749284,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
31,0.4989352373794313,0.0,0.0,0.05410739813385612,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0
32,0.3736690467242891,0.125,0.0,0.2859895551532101,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5714285714285714,1
33,0.3736690467242891,0.0,0.0,0.015126992566498259,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5714285714285714,1
34,0.8246273330828009,0.0,0.0,0.020494635090094415,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
35,0.3486158085932607,0.125,0.0,0.16038672010106,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5714285714285714,0
36,0.5239884755104597,0.125,0.0,0.10149724044618187,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,0
37,0.3736690467242891,0.0,0.0,0.014110458666029575,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5714285714285714,1
38,0.26092947513466114,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
39,0.22334961793811847,0.25,0.0,0.03513366015444757,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.42857142857142855,0
40,0.17324314167606164,0.125,0.0,0.021942337075458514,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.8571428571428571,1
41,0.4989352373794313,0.125,0.0,0.018493968331299484,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
42,0.33608918952774647,0.125,0.0,0.04098927018018883,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
43,0.3736690467242891,0.0,0.0,0.015411575213749284,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0
44,0.035450331955405236,0.125,0.2222222222222222,0.08115719346076702,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.7142857142857143,1
45,0.2358762370036327,0.0,0.0,0.01537917417160685,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5714285714285714,1
46,0.3736690467242891,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
47,0.3736690467242891,0.125,0.0,0.030253985132996517,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.2857142857142857,0
48,0.3736690467242891,0.0,0.0,0.015126992566498259,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5714285714285714,1
49,0.3736690467242891,0.25,0.0,0.04231498029001666,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.380952380952381,0
50,0.22334961793811847,0.125,0.0,0.034743286152731485,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
51,0.08555680821746212,0.5,0.1111111111111111,0.07746484096553544,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4761904761904762,0
52,0.26092947513466114,0.0,0.0,0.01522458606692728,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
53,0.6116748089690592,0.125,0.0,0.1497654242623688,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.8571428571428571,1
54,0.36114242765877486,0.125,0.0,0.050748620223090936,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
55,0.8121007140172868,0.0,0.1111111111111111,0.1209753416358076,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.2857142857142857,0
56,0.3736690467242891,0.0,0.0,0.06929138530460492,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5714285714285714,1
57,0.26092947513466114,0.0,0.0,0.020494635090094415,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
58,0.3548791181260178,0.0,0.0,0.014110458666029575,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0
59,0.06050357008643367,0.125,0.2222222222222222,0.05416439273810667,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.7142857142857143,1
60,0.13566328447951898,0.625,0.2222222222222222,0.09154270340242172,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0
61,0.27345609420017536,0.0,0.0,0.014110458666029575,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0
62,0.47388199924840285,0.0,0.0,0.15614960068643363,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5714285714285714,1
63,0.5615683327070023,0.125,0.0,0.16293234896625058,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.7142857142857143,0
64,0.04797695102091946,0.375,0.2222222222222222,0.05445717323939373,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4761904761904762,0
65,0.3736690467242891,0.0,0.0,0.05410739813385612,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0
66,0.3736690467242891,0.125,0.1111111111111111,0.029757819776815374,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.7619047619047619,1
67,0.36114242765877486,0.0,0.0,0.020494635090094415,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.5714285714285714,1
68,0.2358762370036327,0.0,0.0,0.015923941091001644,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
69,0.21082299887260428,0.5,0.2222222222222222,0.015468569817999833,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6233766233766234,1
70,0.32356257046223225,0.25,0.0,0.016908073949327893,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
71,0.3987222848553175,0.0,0.0,0.020494635090094415,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
72,0.19829637980709008,0.625,0.2222222222222222,0.09154270340242172,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0
73,0.26092947513466114,0.0,0.0,0.1434624456306609,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
74,0.32356257046223225,0.125,0.0,0.028212719478023115,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2857142857142857,0
75,0.3987222848553175,0.0,0.0,0.11027245763075773,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
76,0.311035951396718,0.0,0.0,0.014931805565640218,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.0,0
77,0.3736690467242891,0.0,0.0,0.015411575213749284,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
78,0.3736690467242891,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
79,0.008267568583239383,0.0,0.2222222222222222,0.056604230248832196,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.7619047619047619,1
80,0.3736690467242891,0.0,0.0,0.024349578357040744,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
81,0.27345609420017536,0.0,0.0,0.017566830077223785,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
82,0.36114242765877486,0.0,0.0,0.018542765081513996,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
83,0.3736690467242891,0.0,0.0,0.015200187691820024,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5714285714285714,1
84,0.3486158085932607,0.0,0.0,0.09193307740413781,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
85,0.21082299887260428,0.0,0.0,0.020494635090094415,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
86,0.41124890392083174,0.375,0.0,0.030937139635999665,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
87,0.19829637980709008,0.125,0.3333333333333333,0.06709553154495196,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4761904761904762,0
88,0.3736690467242891,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
89,0.2859827132656896,0.375,0.2222222222222222,0.5133418122566505,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6666666666666667,1
90,0.2985093323312038,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
91,0.36114242765877486,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
92,0.24840285606914692,0.0,0.0,0.015330377421392339,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
93,0.5740949517725166,0.125,0.0,0.11940564777490723,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2857142857142857,0
94,0.32356257046223225,0.125,0.2222222222222222,0.04015972542654215,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,0
95,0.7369409996242015,0.0,0.0,0.014151057562208049,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
96,0.3736690467242891,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
97,0.887260428410372,0.0,0.0,0.06764049365134761,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0
98,0.2859827132656896,0.0,0.1111111111111111,0.12366716556464086,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5714285714285714,1
99,0.42377552298634596,0.0,0.1111111111111111,0.04489301019734967,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.8571428571428571,1
100,0.42377552298634596,0.125,0.0,0.050748620223090936,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,0
101,0.3486158085932607,0.0,0.0,0.015411575213749284,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
102,0.3736690467242891,0.0,0.0,0.015411575213749284,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
103,0.26092947513466114,0.0,0.1111111111111111,0.15085515328815924,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.380952380952381,0
104,0.41124890392083174,0.0,0.0,0.016891873428256675,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.42857142857142855,0
105,0.46135538018288863,0.25,0.0,0.015468569817999833,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.42857142857142855,0
106,0.3486158085932607,0.0,0.0,0.015411575213749284,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
107,0.26092947513466114,0.0,0.0,0.014931805565640218,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
108,0.3736690467242891,0.0,0.0,0.015175789316712771,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
109,0.47388199924840285,0.0,0.0,0.015411575213749284,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
110,0.3736690467242891,0.125,0.0,0.04713766070721715,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5714285714285714,1
111,0.5866215708380308,0.0,0.0,0.10149724044618187,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0
112,0.17950645120881875,0.125,0.0,0.028212719478023115,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2857142857142857,0
113,0.27345609420017536,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
114,0.24840285606914692,0.125,0.0,0.019177122834302632,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,0
115,0.21082299887260428,0.0,0.0,0.028220722145058292,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2857142857142857,0
116,0.26092947513466114,0.0,0.0,0.015468569817999833,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
117,0.8809971188776149,0.0,0.0,0.015126992566498259,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
118,0.36114242765877486,0.125,0.0,0.04098927018018883,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
119,0.2985093323312038,0.0,0.1111111111111111,0.4831284260198326,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5714285714285714,0
120,0.02292371288989102,0.5,0.2222222222222222,0.06104473451835265,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6233766233766234,0
121,0.26092947513466114,0.25,0.0,0.1434624456306609,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.380952380952381,0
122,0.3736690467242891,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
123,0.40498559438807463,0.125,0.0,0.058694292654020104,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5714285714285714,0
124,0.40498559438807463,0.0,0.0,0.025374310111545468,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.5714285714285714,1
125,0.6743079042966303,0.0,0.1111111111111111,0.15085515328815924,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.380952380952381,0
126,0.1481899035450332,0.125,0.0,0.021942337075458514,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.8571428571428571,1
127,0.3736690467242891,0.0,0.0,0.015126992566498259,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
128,0.2985093323312038,0.0,0.0,0.01393967004027879,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
129,0.3736690467242891,0.125,0.1111111111111111,0.04364049521284361,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.7619047619047619,1
130,0.5615683327070023,0.0,0.0,0.013614293309848433,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
131,0.41124890392083174,0.0,0.0,0.015411575213749284,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0
132,0.24840285606914692,0.0,0.0,0.013760683560491965,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
133,0.5866215708380308,0.125,0.0,0.028302115124416098,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
134,0.36114242765877486,0.125,0.0,0.050748620223090936,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
135,0.311035951396718,0.0,0.0,0.025374310111545468,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
136,0.2859827132656896,0.0,0.0,0.02936744577509929,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0
137,0.2358762370036327,0.0,0.2222222222222222,0.051301584996521765,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5714285714285714,1
138,0.46135538018288863,0.125,0.0,0.10364429745562033,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5714285714285714,0
139,0.19829637980709008,0.0,0.0,0.01798980030808316,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
140,0.2985093323312038,0.0,0.0,0.15458810467956932,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0
141,0.3736690467242891,0.0,0.2222222222222222,0.029757819776815374,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.42857142857142855,0
142,0.27345609420017536,0.0,0.0,0.015126992566498259,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
143,0.2985093323312038,0.125,0.0,0.030937139635999665,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
144,0.2358762370036327,0.0,0.0,0.013175122557917838,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
145,0.22334961793811847,0.0,0.0,0.022446505098674834,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
146,0.2358762370036327,0.125,0.1111111111111111,0.07173122281533045,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
147,0.33608918952774647,0.0,0.0,0.015216388212891242,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6233766233766234,1
148,0.11061004634849055,0.25,0.2222222222222222,0.06709553154495196,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4761904761904762,0
149,0.4550920706501315,0.0,0.2222222222222222,0.050748620223090936,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.7619047619047619,0
150,0.5239884755104597,0.0,0.0,0.025374310111545468,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
151,0.6367280471000877,0.0,0.0,0.02444717185746977,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
152,0.27345609420017536,0.125,0.0,0.12999454257145598,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5714285714285714,1
153,0.6930978328949017,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
154,0.5051985469121884,0.0,0.2222222222222222,0.028302115124416098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.380952380952381,0
155,0.3736690467242891,0.0,0.0,0.014273049437744325,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.42857142857142855,0
156,0.6367280471000877,0.0,0.1111111111111111,0.11980421963065935,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5714285714285714,0
157,0.19829637980709008,0.0,0.0,0.015094396337354966,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5714285714285714,1
158,0.3736690467242891,0.0,0.0,0.015712553569072387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
159,0.3736690467242891,0.0,0.0,0.016908073949327893,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
160,0.3736690467242891,1.0,0.2222222222222222,0.13575255909676823,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5194805194805194,0
161,0.5490417136414881,0.0,0.1111111111111111,0.031425107138144774,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
162,0.4989352373794313,0.0,0.0,0.030741952635141623,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1
163,0.32356257046223225,0.0,0.0,0.015175789316712771,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
164,0.21082299887260428,0.0,0.0,0.016908073949327893,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2857142857142857,0
165,0.0103970938243768,0.5,0.1111111111111111,0.07746484096553544,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4761904761904762,0
166,0.11061004634849055,0.0,0.2222222222222222,0.04006213192611313,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.7142857142857143,1
167,0.3736690467242891,0.0,0.1111111111111111,0.10735285047192313,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5714285714285714,1
168,0.5615683327070023,0.125,0.4444444444444444,0.05445717323939373,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4761904761904762,0
169,0.3736690467242891,0.0,0.0,0.050602229972447406,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
170,0.3486158085932607,0.0,0.0,0.11027245763075773,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
171,0.7619942377552299,0.0,0.0,0.06538764528744409,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0
172,0.04797695102091946,0.5,0.1111111111111111,0.056848213999904744,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.4761904761904762,0
173,0.0103970938243768,0.125,0.1111111111111111,0.021730754366528396,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.7619047619047619,1
174,0.26092947513466114,0.0,0.0,0.015468569817999833,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0
175,0.6993611424276588,0.0,0.0,0.05991421140938287,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5714285714285714,0
